City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,satipo,-11.2522,-74.6386,20.43,84,90,0.72,PE,1693645882
1,isafjordur,66.0755,-23.124,13.02,62,75,7.2,IS,1693645882
2,codrington,-38.2667,141.9667,10.82,87,10,0.86,AU,1693645882
3,acarau,-2.8856,-40.12,22.9,87,1,5.37,BR,1693645882
4,grytviken,-54.2811,-36.5092,0.75,83,100,5.95,GS,1693645883
5,thompson,55.7435,-97.8558,19.09,77,75,3.09,CA,1693645883
6,wailua homesteads,22.0669,-159.378,26.44,79,100,9.77,US,1693645883
7,waitangi,-43.9535,-176.5597,9.9,92,91,0.45,NZ,1693645884
8,mahina,-17.5065,-149.489,21.87,68,0,1.03,PF,1693645884
9,port-aux-francais,-49.35,70.2167,1.68,98,100,11.69,TF,1693645884
10,qarauyl,48.9451,79.255,23.06,25,84,7.13,KZ,1693645885
11,egilsstadir,65.2653,-14.3948,14.95,72,40,9.77,IS,1693645885
12,fort st. john,56.2499,-120.8529,15.94,48,100,2.57,CA,1693645885
13,severobaykal'sk,55.65,109.3167,16.27,53,29,2.38,RU,1693645886
14,guntersville,34.3582,-86.2947,23.49,86,40,3.09,US,1693645886
15,pisco,-13.7,-76.2167,16.03,77,6,2.06,PE,1693645886
16,khandyga,62.6667,135.6,8.97,64,95,0.54,RU,1693645886
17,aasiaat,68.7098,-52.8699,1.0,84,92,10.51,GL,1693645887
18,inari,68.906,27.0288,14.11,89,100,4.04,FI,1693645887
19,puerto baquerizo moreno,-0.9,-89.6,23.66,80,87,4.51,EC,1693645887
20,gadzhiyevo,69.2551,33.3362,16.97,79,90,5.56,RU,1693645888
21,aykhal,66.0,111.5,9.75,38,69,6.4,RU,1693645888
22,puerto natales,-51.7236,-72.4875,-2.82,94,17,1.63,CL,1693645888
23,kurmuk,10.55,34.2833,30.18,56,88,0.75,SD,1693645889
24,sola,-13.8833,167.55,25.8,88,93,7.6,VU,1693645797
25,vicuna,-30.0319,-70.7081,17.01,54,100,0.29,CL,1693645889
26,cafayate,-26.073,-65.9761,14.55,40,0,0.64,AR,1693645889
27,tazovsky,67.4667,78.7,10.33,51,100,5.32,RU,1693645889
28,blackmans bay,-43.0167,147.3167,8.62,86,93,0.68,AU,1693645890
29,mount pearl,47.5166,-52.7813,7.81,89,20,4.63,CA,1693645890
30,arraial do cabo,-22.9661,-42.0278,20.92,88,20,7.72,BR,1693645890
31,perambalur,11.2333,78.8833,32.77,52,62,4.63,IN,1693645890
32,kirensk,57.7853,108.1119,14.38,37,0,4.75,RU,1693645891
33,albany,42.6001,-73.9662,13.66,93,7,0.89,US,1693645891
34,nemuro,43.3236,145.575,18.93,97,100,5.68,JP,1693645891
35,cabo san lucas,22.8909,-109.9124,28.75,88,99,1.79,MX,1693645891
36,lebu,-37.6167,-73.65,7.08,83,100,3.75,CL,1693645892
37,novokruchininskiy,51.7833,113.7667,15.85,85,100,1.91,RU,1693645892
38,edmundston,47.3737,-68.3251,12.63,92,0,2.57,CA,1693645892
39,hammerfest,70.6634,23.6821,11.25,93,75,3.6,NO,1693645892
40,longyearbyen,78.2186,15.6401,6.91,65,75,2.57,SJ,1693645893
41,kodiak,57.79,-152.4072,12.73,62,0,0.0,US,1693645893
42,papatowai,-46.5619,169.4708,8.8,92,97,0.93,NZ,1693645893
43,puerto aysen,-45.4,-72.7,2.79,99,100,1.87,CL,1693645894
44,qaqortoq,60.7167,-46.0333,4.51,67,96,18.82,GL,1693645894
45,fale old settlement,-9.3852,-171.2468,28.21,80,20,10.03,TK,1693645894
46,kosh-agach,50.0,88.6667,18.64,20,60,0.88,RU,1693645894
47,makungu,-8.7333,35.2833,25.52,41,1,4.26,TZ,1693645895
48,puerto ayora,-0.7393,-90.3518,24.19,93,20,1.79,EC,1693645895
49,bilibino,68.0546,166.4372,0.53,99,100,2.63,RU,1693645895
50,ilulissat,69.2167,-51.1,3.01,87,75,5.66,GL,1693645896
51,labasa,-16.4167,179.3833,23.5,89,31,2.06,FJ,1693645896
52,carnarvon,-24.8667,113.6333,20.08,65,10,7.42,AU,1693645611
53,qianzhou,28.3167,109.7167,30.0,53,65,2.91,CN,1693645896
54,nuestra senora del rosario de caa cati,-27.7507,-57.6207,19.31,95,100,3.82,AR,1693645897
55,kailua-kona,19.6406,-155.9956,25.98,78,0,4.63,US,1693645897
56,nolinsk,57.5596,49.9363,19.96,49,5,2.92,RU,1693645897
57,udachny,66.4167,112.4,11.36,46,82,5.59,RU,1693645715
58,nova sintra,14.8667,-24.7167,24.74,77,52,1.51,CV,1693645898
59,st. john's,47.5649,-52.7093,8.27,88,0,1.34,CA,1693645844
60,medina,24.4686,39.6142,41.24,9,0,4.12,SA,1693645898
61,dudinka,69.4058,86.1778,6.46,86,100,1.4,RU,1693645899
62,shache,38.4167,77.2406,34.51,14,69,4.85,CN,1693645899
63,san fernando,15.0286,120.6898,28.85,87,100,4.78,PH,1693645899
64,tiksi,71.6872,128.8694,6.11,55,100,2.94,RU,1693645900
65,georgetown,5.4112,100.3354,31.96,62,20,1.54,MY,1693645705
66,stanley,54.868,-1.6985,16.82,86,75,0.51,GB,1693645900
67,port saint john's,-31.6229,29.5448,21.09,70,76,0.95,ZA,1693645900
